params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-65.84897216,57.97294916,0.928900272,69.04761905,116.722702,65.84897216,8.1147,7.614,69.05%,0.9289,116.72
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-65.90677016,57.6768164,0.929263458,68.95238095,155.5028429,65.90677016,8.1183,7.5945,68.95%,0.9293,155.5
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-65.9334439,57.43326864,0.929562152,69.0952381,194.485069,65.9334439,8.1199,7.5785,69.10%,0.9296,194.49
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-66.04936311,58.81075188,0.927872767,69.33333333,77.83850884,66.04936311,8.1271,7.6688,69.33%,0.9279,77.84
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-66.04961388,57.27053731,0.929761731,69.28571429,194.6619422,66.04961388,8.1271,7.5677,69.29%,0.9298,194.66
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-66.05708314,57.04911222,0.930033293,69.04761905,156.4277475,66.05708314,8.1276,7.5531,69.05%,0.93,156.43
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-66.17546477,58.12528663,0.928713441,69.33333333,38.93180895,66.17546477,8.1348,7.624,69.33%,0.9287,38.93
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-66.21510401,57.04352248,0.930040149,69.23809524,116.7838492,66.21510401,8.1373,7.5527,69.24%,0.93,116.78
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-66.46850272,57.54042671,0.929430731,69.28571429,77.78272653,66.46850272,8.1528,7.5855,69.29%,0.9294,77.78
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-67.62261907,59.96434239,0.926457969,67.95238095,38.02009726,67.62261907,8.2233,7.7437,67.95%,0.9265,38.02
