params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-60.90535272,57.06586439,0.929129429,78.97118362,65.42397022,60.90535272,7.8042,7.5542,78.97%,0.9291
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-61.03576068,57.00234849,0.92920831,78.92355323,66.18013287,61.03576068,7.8125,7.55,78.92%,0.9292
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-61.07049798,59.7865748,0.925750556,78.49487973,67.41613317,61.07049798,7.8148,7.7322,78.49%,0.9258
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-61.08602917,59.35573095,0.926285624,78.39961896,44.22716093,61.08602917,7.8158,7.7043,78.40%,0.9263
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-61.08629816,59.50858505,0.926095793,78.37580376,44.92180705,61.08629816,7.8158,7.7142,78.38%,0.9261
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-61.19086454,59.74594142,0.925801019,78.49487973,66.71818829,61.19086454,7.8225,7.7295,78.49%,0.9258
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-61.88457322,59.60077296,0.925981305,78.01857585,216.2050719,61.88457322,7.8667,7.7202,78.02%,0.926
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-61.89134145,59.40918674,0.926219237,77.99476066,134.3217101,61.89134145,7.8671,7.7077,77.99%,0.9262
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-61.89275187,59.53229833,0.926066344,77.99476066,173.9107349,61.89275187,7.8672,7.7157,77.99%,0.9261
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-61.90542595,59.29072331,0.926366358,78.16146702,87.3368814,61.90542595,7.868,7.7,78.16%,0.9264
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-61.91759997,59.58527512,0.926000551,78.01857585,218.0658245,61.91759997,7.8688,7.7191,78.02%,0.926
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-61.92904165,58.25966485,0.927646838,78.16146702,43.02589965,61.92904165,7.8695,7.6328,78.16%,0.9276
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-61.93481771,59.38454307,0.926249842,77.92331508,130.9384389,61.93481771,7.8699,7.7061,77.92%,0.9262
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-61.94014432,59.47374634,0.92613906,78.01857585,174.3426018,61.94014432,7.8702,7.7119,78.02%,0.9261
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-61.96784308,59.2657308,0.926397396,78.2329126,87.23387289,61.96784308,7.872,7.6984,78.23%,0.9264
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-62.0114089,58.23165163,0.927681628,78.04239105,43.48782778,62.0114089,7.8747,7.631,78.04%,0.9277
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-62.1796146,59.83796577,0.925686733,77.89949988,128.7653108,62.1796146,7.8854,7.7355,77.90%,0.9257
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-62.18704378,59.64272896,0.925929199,78.09002143,85.63538694,62.18704378,7.8859,7.7229,78.09%,0.9259
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-62.20309923,59.99836254,0.925487535,77.94713027,214.234766,62.20309923,7.8869,7.7459,77.95%,0.9255
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-62.20733608,59.91506834,0.925590979,77.89949988,170.7716386,62.20733608,7.8872,7.7405,77.90%,0.9256
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-62.25405332,59.98072554,0.925509438,77.97094546,215.3919218,62.25405332,7.8901,7.7447,77.97%,0.9255
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-62.25643031,59.82226282,0.925706234,77.94713027,129.22822,62.25643031,7.8903,7.7345,77.95%,0.9257
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-62.27535751,59.89225349,0.925619312,77.8280543,172.0251276,62.27535751,7.8915,7.739,77.83%,0.9256
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-62.27608267,59.69717692,0.92586158,78.11383663,86.3234067,62.27608267,7.8915,7.7264,78.11%,0.9259
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-62.28232716,58.57303169,0.927257665,78.09002143,42.67757487,62.28232716,7.8919,7.6533,78.09%,0.9273
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-62.43497628,58.75782095,0.927028174,78.04239105,43.07025814,62.43497628,7.9016,7.6654,78.04%,0.927
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-62.43977606,61.83463018,0.923207059,77.51845678,127.5873997,62.43977606,7.9019,7.8635,77.52%,0.9232
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-62.44420251,62.3192048,0.922605261,77.37556561,212.9045436,62.44420251,7.9022,7.8943,77.38%,0.9226
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-62.46058968,62.10976286,0.922865369,77.23267445,170.3336618,62.46058968,7.9032,7.881,77.23%,0.9229
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-62.47182858,62.37965464,0.922530188,77.3993808,213.6796753,62.47182858,7.9039,7.8981,77.40%,0.9225
