formula,Tc,type
Bi3.16Ca0.8Cu0.76O1.66Sr3.22Yb1.91,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.71Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu0.13O1.03Tl8.96,93.0,original
Ba1.72Cu0.13O1.03Tl8.96,93.0,original
Ba1.72Cu0.13O1.03Tl8.96,93.0,original
Ba1.78Cu0.15Hg6.66O0.49,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39K0.41O1.18Y1.8,93.0,original
Ba1.72Cu1.39O1.2Rb0.2Y1.92,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.33O1.29Y2.04,92.0,original
Ba1.72Cu1.39O1.27Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39Eu6.81O1.31,92.0,original
Ba1.72Cu1.39Gd8.95O1.31,92.0,original
Ba1.72Cu1.39Gd8.95O1.03S0.95,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39Gd8.95O1.28,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.37O1.3Y2.04,92.0,original
Ba1.72Co0.21Cu1.35O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.26Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39Er7.65O1.29,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.34Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Ca1.05Cu0.76O1.59Tl8.96,92.0,original
Ba1.72Cu1.39Er7.65O1.31,92.0,original
Ba1.61Cu1.39Nd5.34O1.28,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Bi3.16Ca0.8Cu0.76O1.66Sr3.22Y0.13,92.0,original
