elements,formula,Predicted_Tc
Ga-In,Ga0.820In0.180,5.489017179
Ga-In,Ga0.822In0.178,5.48299141
Bi-Cu,Bi0.952Cu0.048,5.480295833
Bi-Cu,Bi0.952Cu0.048,5.480295833
Ga-In,Ga0.880In0.120,5.477140962
Ga-In,Ga0.847In0.153,5.47515312
Ga-In,Ga0.847In0.153,5.47515312
Bi-Sn-Zn,Bi0.635Sn0.243Zn0.122,5.474897778
Bi-Sn-Sb,Bi0.388Sn0.540Sb0.072,5.471041667
Ga-Bi-Sb,Ga0.838Bi0.064Sb0.098,5.47042485
Ga-Bi-Sb,Ga0.028Bi0.928Sb0.044,5.461572415
Bi-Sn-Sb,Bi0.235Sn0.664Sb0.101,5.453473611
Ga-Bi-Sb,Ga0.242Bi0.668Sb0.090,5.449610256
Bi-In-Cu,Bi0.623In0.352Cu0.025,5.445646111
Ga-In-Zn,Ga0.252In0.703Zn0.045,5.443168469
Ga-Sn-Ag,Ga0.783Sn0.164Ag0.053,5.442538611
Ga-Bi-Sb,Ga0.777Bi0.029Sb0.194,5.432441218
Ga-Sn-Zn,Ga0.749Sn0.194Zn0.057,5.432368226
Ga-In-Ag,Ga0.270In0.613Ag0.117,5.432000662
Bi-Cu,Bi0.948Cu0.052,5.425527778
Bi-Sn-Ag,Bi0.637Sn0.185Ag0.178,5.423728611
Ga-Bi-Sb,Ga0.775Bi0.032Sb0.193,5.415118996
Bi-In-Cu,Bi0.615In0.358Cu0.027,5.414448333
Ga-Bi-Sb,Ga0.854Bi0.078Sb0.068,5.407333056
Ga-Bi-Ag,Ga0.129Bi0.768Ag0.103,5.406218291
Ga-Bi-Cu,Ga0.206Bi0.753Cu0.041,5.404321389
Bi-Sn-Ag,Bi0.655Sn0.314Ag0.031,5.402159444
Ga-In-Cu,Ga0.840In0.155Cu0.005,5.397531966
Bi-In-Sb,Bi0.583In0.416Sb0.001,5.392417778
Ga-In-Zn,Ga0.247In0.717Zn0.036,5.385083191
Ga-Bi-Sb,Ga0.863Bi0.083Sb0.054,5.374021047
Ga-In-Ag,Ga0.301In0.565Ag0.134,5.364271902
Ga-In-Zn,Ga0.304In0.486Zn0.210,5.36263794
Ga-Sn-Sb,Ga0.957Sn0.009Sb0.034,5.359028226
Ga-In-Zn,Ga0.415In0.531Zn0.054,5.356168504
Ga-Sn-Sb,Ga0.724Sn0.124Sb0.152,5.35286641
Bi-Zn-Cu,Bi0.859Zn0.137Cu0.004,5.352282222
Ga-In-Sb,Ga0.745In0.173Sb0.082,5.348283162
Ga-In-Zn,Ga0.744In0.196Zn0.060,5.342172436
Bi-Sn-Ag,Bi0.701Sn0.111Ag0.188,5.340464722
Ga-In-Ag,Ga0.824In0.129Ag0.047,5.333652179
Ga-In-Zn,Ga0.397In0.551Zn0.052,5.332245534
Sn-Sb-Cu,Sn0.687Sb0.225Cu0.088,5.323491944
Ga-In-Sb,Ga0.358In0.594Sb0.048,5.317255712
Ga-Bi-Sb,Ga0.795Bi0.199Sb0.006,5.316468056
Sn-Ag-Cu,Sn0.608Ag0.068Cu0.324,5.316105556
Ga-In-Sb,Ga0.255In0.721Sb0.024,5.314386311
Ga-Ag,Ga0.993Ag0.007,5.31307594
Ga-In-Zn,Ga0.278In0.540Zn0.182,5.31257647
Ga-In-Zn,Ga0.397In0.586Zn0.017,5.31252084
Ga-In-Zn,Ga0.730In0.109Zn0.161,5.311306812
Ga-Ag,Ga0.963Ag0.037,5.30524562
Ga-In-Sb,Ga0.373In0.591Sb0.036,5.304265221
Ga-Ag,Ga0.979Ag0.021,5.295060235
Ga-In-Ag,Ga0.369In0.502Ag0.129,5.294517821
Ga-Ag,Ga0.957Ag0.043,5.290068504
Ga-In-Ag,Ga0.290In0.620Ag0.090,5.288432457
Ga-Ag,Ga0.975Ag0.025,5.287352628
Ga-In-Sb,Ga0.279In0.613Sb0.108,5.278512187
Ga-Sn-Zn,Ga0.731Sn0.050Zn0.219,5.276595675
Ga-In-Ag,Ga0.345In0.540Ag0.115,5.274130128
Sn-Sb-Cu,Sn0.615Sb0.067Cu0.318,5.269530556
Bi-In-Ag,Bi0.656In0.249Ag0.095,5.265198611
Ga-In-Sb,Ga0.384In0.609Sb0.007,5.258875285
Ga-In-Sb,Ga0.236In0.692Sb0.072,5.257171268
Ga-In-Sb,Ga0.380In0.615Sb0.005,5.256827293
Ga-In-Sb,Ga0.335In0.578Sb0.087,5.254785605
Sn-Ag-Cu,Sn0.666Ag0.208Cu0.126,5.254382222
Ga-In-Cu,Ga0.941In0.046Cu0.013,5.249252863
Ga-In-Ag,Ga0.336In0.570Ag0.094,5.248309509
Ga-In-Cu,Ga0.858In0.127Cu0.015,5.247569786
Bi-Ag-Cu,Bi0.825Ag0.111Cu0.064,5.2474
Ga-In-Ag,Ga0.419In0.447Ag0.134,5.247332393
Bi-In-Ag,Bi0.629In0.276Ag0.095,5.244563611
Sn-Sb-Cu,Sn0.611Sb0.051Cu0.338,5.23939
Ga-Sn-Sb,Ga0.702Sn0.149Sb0.149,5.236569658
Ga-In-Ag,Ga0.255In0.519Ag0.226,5.231188654
Ga-Ag,Ga0.999Ag0.001,5.227953333
Ga-Cu,Ga0.999Cu0.001,5.227953333
Ga,Ga1.000,5.224769231
Ga-In-Ag,Ga0.407In0.528Ag0.065,5.22125594
Sn-Ag-Cu,Sn0.598Ag0.072Cu0.330,5.219541111
Sn-Ag-Cu,Sn0.629Ag0.135Cu0.236,5.213388333
Ga-Bi-Cu,Ga0.005Bi0.904Cu0.091,5.207195833
Ga-Sn-Zn,Ga0.737Sn0.032Zn0.231,5.203491098
Bi-In-Ag,Bi0.680In0.215Ag0.105,5.201516944
Bi-In-Ag,Bi0.655In0.242Ag0.103,5.197019167
Ga-Bi-Ag,Ga0.144Bi0.734Ag0.122,5.194778632
Ga-Ag,Ga0.931Ag0.069,5.18812359
Bi-Zn-Cu,Bi0.863Zn0.096Cu0.041,5.1852825
Bi-In-Sb,Bi0.582In0.386Sb0.032,5.170016389
Bi-Zn-Cu,Bi0.887Zn0.015Cu0.098,5.163884444
Bi-In-Sb,Bi0.796In0.117Sb0.087,5.157656111
Ga-Bi-Ag,Ga0.084Bi0.769Ag0.147,5.148489487
Ga-Ag,Ga0.921Ag0.079,5.144817286
Bi-In-Sb,Bi0.611In0.324Sb0.065,5.141110278
Ga-Bi-Sb,Ga0.205Bi0.633Sb0.162,5.140090321
Ga-Cu,Ga0.983Cu0.017,5.139047393
Ga-Ag,Ga0.901Ag0.099,5.135941538
Ga-Ag,Ga0.894Ag0.106,5.130680171
Ga-Zn-Ag,Ga0.711Zn0.181Ag0.108,5.130079786
Ga-Bi-Ag,Ga0.918Bi0.001Ag0.081,5.128050427
