elements,formula,Predicted_Tc
Ga-Bi-Zn,Ga0.205Bi0.787Zn0.008,6.060416175
Sn-Sb-Cu,Sn0.804Sb0.088Cu0.108,6.059787222
Ga-Bi-Zn,Ga0.263Bi0.730Zn0.007,6.058687329
Ga-Bi-Zn,Ga0.232Bi0.747Zn0.021,6.057810748
Bi-In-Zn,Bi0.894In0.103Zn0.003,6.056771389
Bi-In-Zn,Bi0.814In0.160Zn0.026,6.053609444
Ga-Bi-Zn,Ga0.257Bi0.720Zn0.023,6.049149551
Bi-Sb,Bi0.990Sb0.010,6.045925
Ga-Bi-Zn,Ga0.148Bi0.838Zn0.014,6.04493141
Bi-In-Cu,Bi0.981In0.009Cu0.010,6.044448889
Bi-Cu,Bi0.987Cu0.013,6.043723611
Ga-Bi-Ag,Ga0.239Bi0.743Ag0.018,6.03622359
Bi-In-Ag,Bi0.952In0.029Ag0.019,6.0342025
Bi-In-Zn,Bi0.830In0.140Zn0.030,6.032606667
Ga-Sn-Cu,Ga0.127Sn0.768Cu0.105,6.027292415
Bi-In-Zn,Bi0.828In0.122Zn0.050,6.025328333
Ga-Bi-Ag,Ga0.251Bi0.731Ag0.018,6.024993718
Ga-Sn-Cu,Ga0.061Sn0.808Cu0.131,6.021623675
Bi-In-Zn,Bi0.817In0.148Zn0.035,6.021422778
Bi-In-Zn,Bi0.777In0.220Zn0.003,6.019905278
Bi-In-Ag,Bi0.781In0.207Ag0.012,6.017633056
Ga-Sn-Cu,Ga0.042Sn0.795Cu0.163,6.011260897
Ga-Bi-Ag,Ga0.192Bi0.782Ag0.026,6.003447714
Bi-In-Zn,Bi0.853In0.112Zn0.035,5.994224167
Ga-Bi-Ag,Ga0.049Bi0.931Ag0.020,5.993990321
Bi-In-Cu,Bi0.849In0.137Cu0.014,5.990100556
Bi-In-Ag,Bi0.940In0.044Ag0.016,5.9865475
Ga-Sn-Cu,Ga0.068Sn0.799Cu0.133,5.985265342
Ga-Sn-Cu,Ga0.058Sn0.800Cu0.142,5.985220897
Bi-In-Cu,Bi0.777In0.221Cu0.002,5.982284444
Ga-Bi-Ag,Ga0.099Bi0.888Ag0.013,5.978226774
Bi-In-Cu,Bi0.899In0.096Cu0.005,5.977820278
Ga-Bi-Ag,Ga0.244Bi0.718Ag0.038,5.977512607
Ga-Bi-Ag,Ga0.091Bi0.898Ag0.011,5.970957329
Bi-In-Cu,Bi0.902In0.091Cu0.007,5.964803611
Ga-Bi-Ag,Ga0.255Bi0.717Ag0.028,5.96430406
Ga-Zn-Sb,Ga0.806Zn0.028Sb0.166,5.962155598
Ga-Bi-Sb,Ga0.089Bi0.904Sb0.007,5.951979551
Ga-Sn-Sb,Ga0.795Sn0.055Sb0.150,5.948673141
Ga-Sn-Sb,Ga0.804Sn0.144Sb0.052,5.945740491
Ga-Sn-Sb,Ga0.801Sn0.086Sb0.113,5.942840171
Bi-In-Sb,Bi0.867In0.118Sb0.015,5.937438056
Ga-Sn-Sb,Ga0.806Sn0.040Sb0.154,5.936776966
Ga-Bi-Ag,Ga0.282Bi0.704Ag0.014,5.936105513
Ga-Bi-Cu,Ga0.228Bi0.760Cu0.012,5.934336239
Ga-Sb,Ga0.801Sb0.199,5.934198056
Ga-Sb,Ga0.800Sb0.200,5.934198056
Ga-Sb,Ga0.800Sb0.200,5.934198056
Ga-Sb,Ga0.800Sb0.200,5.934198056
Bi-In-Ag,Bi0.944In0.023Ag0.033,5.925027778
