formula,Predicted_Tc
Ga0.377In0.256Sn0.367,4.630392191734189
Ga0.272In0.194Sn0.534,5.10666385840086
Ga0.360In0.554Sn0.086,4.271538733248234
Ga0.550In0.251Sn0.199,4.1307884011775275
Ga0.440In0.258Sn0.302,4.497659725311721
Ga0.505In0.032Sn0.463,4.458684870305621
Ga0.186In0.607Sn0.207,5.502158263070263
Ga0.123In0.178Sn0.699,4.71772931313132
Ga0.376In0.332Sn0.292,5.187351391978391
Ga0.139In0.661Sn0.200,5.421180656232658
Ga0.114In0.388Sn0.498,6.608256217893221
Ga0.094In0.082Sn0.824,4.111849313131312
Ga0.397In0.326Sn0.277,4.89099194753395
Ga0.369In0.337Sn0.294,5.205118058645058
Ga0.139In0.254Sn0.607,5.299308440115444
Ga0.247In0.321Sn0.432,5.427290525067528
Ga0.753In0.123Sn0.124,4.100960598466349
Ga0.466In0.139Sn0.395,4.068861203638951
Ga0.032In0.636Sn0.332,6.421224444444434
Ga0.466In0.307Sn0.227,4.394046173724427
Ga0.363In0.519Sn0.118,4.693851233248233
Ga0.050In0.322Sn0.628,5.653352460317467
Ga0.215In0.398Sn0.387,6.161519969511966
Ga0.557In0.091Sn0.352,3.924336541541786
Ga0.295In0.530Sn0.175,5.340129249121248
Ga0.613In0.258Sn0.129,3.9355567670708904
Ga0.199In0.444Sn0.357,6.147354413956412
Ga0.420In0.378Sn0.202,4.8531302015022035
Ga0.367In0.333Sn0.300,5.20231139197839
Ga0.206In0.145Sn0.649,5.036471398083406
Ga0.530In0.258Sn0.212,4.21157053880379
Ga0.476In0.056Sn0.468,4.460381536972289
Ga0.600In0.247Sn0.153,3.9761395977587224
Ga0.176In0.409Sn0.415,6.334456602508608
Ga0.306In0.382Sn0.312,6.034064169756167
Ga0.310In0.214Sn0.476,5.158765525067525
Ga0.367In0.205Sn0.428,4.826474636178637
Ga0.858In0.126Sn0.016,4.05958656395919
Ga0.480In0.154Sn0.366,4.08263370363895
Ga0.038In0.487Sn0.475,6.9579087301587315
Ga0.353In0.030Sn0.617,4.70693028697229
Ga0.753In0.200Sn0.047,3.921810596061347
Ga0.161In0.500Sn0.339,6.3848378845598805
